PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Columbia Nuclear Power Plant United States of America,Energy Northwest,Contact Us - Energy Northwest,http://www.energy-northwest.com/Pages/Contact-Us.aspx
Comanche Peak Nuclear Power Plant United States of America,"Luminant Generation, a subsidiary of Energy Future Holdings Corporation",Contact Txu Houston - allcontactphonenumbers.com,https://allcontactphonenumbers.com/Contact-Txu-Houston/
Cooper Nuclear Power Plant United States of America,NPPD (NEBRASKA PUBLIC POWER DISTRICT),Contact Us - Nebraska Public Power District,http://www.nppd.com/contact-us/customer-service-centers/
Davis-Besse Nuclear Power Plant United States of America,FIRST ENERGY NUCLEAR OPERATING CO.,Contact Address of Firstenergy Nuclear Operating Company ...,https://addresscustomerservicecenternumber.com/Address-Email-Website-Contact-Number-of-Firstenergy-Nuclear-Operating-Company-in-Reading-PA/
Diablo Canyon Nuclear Power Plant United States of America,Pacific Gas & Electric Co.,Contact us - Pacific Gas and Electric Company,https://www.pge.com/en_US/residential/customer-service/help/contact-pge-landing/contact-us.page
Duane Arnold Nuclear Power Plant United States of America,FPL ENERGY DUANE ARNOLD,"NextEra Energy Resources, LLC -Overview, Contact Details ...",https://www.researchmoz.us/nextera-energy-resources-llc-overview-contact-details-locations-key-executives-power-plant-information-business-description-and-swot-analysis-report.html
Edwin I. Hatch Nuclear Power Plant United States of America,Southern Nuclear Operating Co.,Contact Us - Southern Company,http://www.southerncompany.com/contact-us.html
Enrico Fermi Nuclear Power Plant United States of America,DETROIT EDISON CO.,DTE Energy | Contact Us,https://www.newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/footer/03%2Bcontact%2Bus
Fitzpatrick Nuclear Power Plant USA,"Entergy Nuclear Operations, Inc.",Entergy | Contact Us,http://www.entergy.com/contact_us/
Fort Calhoun Nuclear Power Plant United States of America,Omaha Public Power District,Contact,http://www.oppd.com/contact/
Grand Gulf Nuclear Power Plant United States of America,ENTERGY NUCLEAR,Entergy Nuclear - Contact Us,http://www.entergy-nuclear.com/contact_us/
H. B. Robinson Nuclear Power Plant United States of America,Progress Energy Corporation,Contact Us | Progress Energy Canada Ltd.,http://www.progressenergy.com/contact-us/
Hope Creek Nuclear Power Plant United States of America,PUBLIC SERVICE ELECTRIC & GAS CO.,PSE&G Contact Information for our New Jersey Customers,https://pseg.com/info/contact.jsp
Indian Point Nuclear Power Plant United States of America,ENTERGY NUCLEAR,Entergy Nuclear - Contact Us,http://www.entergy-nuclear.com/contact_us/
Joseph M. Farley Nuclear Power Plant United States of America,ALP (ALABAMA POWER CO.),REA Energy | Proudly Serving Members for Over 75 Years,http://www.reaenergy.com/
Kewaunee Nuclear Power Plant United States of America,DOMINION ENERGY KEWAUNEE,www.gpo.gov,https://www.gpo.gov/fdsys/pkg/FR-2010-02-05/mods.xml
LaSalle Nuclear Power Plant United States of America,Exelon Generation,"Exelon Generation Co Llc XDate, Carrier History, Mod ...",https://www.insurancexdate.com/GA/epb1Z/exelon-generation-co-llc-atlanta
Limerick Nuclear Power Plant United States of America,Exelon Generation,"Exelon Generation Co Llc XDate, Carrier History, Mod ...",https://www.insurancexdate.com/GA/epb1Z/exelon-generation-co-llc-atlanta
McGuire Nuclear Power Plant United States of America,DUKE POWER CO.,Outage Reporting - Duke Energy,https://ols.duke-energy.com/037/ExtOutageReporting/ExtOutageReportingServlet
Millstone Nuclear Power Plant United States of America,Dominion Virginia Power,Contact of Dominion Virginia Power customer service ...,http://customercarecontacts.com/contact-of-dominion-virginia-power-customer-service/
Monticello Nuclear Power Plant United States of America,Northern States Power Co.,"Lieser v. Northern States Power Co., 268 Minn. 95 ...",https://www.courtlistener.com/opinion/2168101/lieser-v-northern-states-power-co/
North Anna Nuclear Power Plant United States of America,VIRGINIA ELECTRIC POWER CO.,Contact Appalachian Power,https://www.appalachianpower.com/contact/
Oconee Nuclear Power Plant United States of America,DUKE POWER CO.,Outage Reporting - Duke Energy,https://ols.duke-energy.com/037/ExtOutageReporting/ExtOutageReportingServlet
Oyster Creek Nuclear Power Plant United States of America,Exelon Corporation,Suppliers - Contact Information - Exelon,http://www.exeloncorp.com/suppliers/contact-information
Palo Verde Nuclear Power Plant United States of America,ARIZONA PUBLIC SERVICE CO.,"Contact Arizona Public Service Co | Fastest, No Wait Time",https://gethuman.com/contact/Arizona-Public-Service-Co
Peach Bottom Nuclear Power Plant United States of America,Exelon Generation,"Exelon Generation Co Llc XDate, Carrier History, Mod ...",https://www.insurancexdate.com/GA/epb1Z/exelon-generation-co-llc-atlanta
